STATE,CASES,FIPS
Texas,1342,48
Florida,1040,12
California,763,06
Ohio,1143,39
Arkansas,2539,05
Michigan,1128,26
Tennessee,1604,47
New Jersey,1782,34
Virginia,752,51
North Carolina,462,37
Connecticut,1404,09
Arizona,352,04
Georgia,258,13
South Carolina,567,45
Kansas,1021,20
Idaho,1186,16
Louisiana,620,22
Colorado,544,08
Kentucky,743,21
Indiana,293,18
Maryland,345,24
New York,156,36
Missouri,238,29
Delaware,1250,10
New Mexico,798,35
Minnesota,606,27
Oregon,351,41
Mississippi,246,28
Massachusetts,547,25
Iowa,497,19
Illinois,117,17
Washington,227,53
Wisconsin,142,55
Pennsylvania,66,42
Alabama,109,01
Oklahoma,66,40
Vermont,1068,50
West Virginia,257,54
Utah,72,49
Alaska,55,02
Rhode Island,92,44
Wyoming,75,56
Montana,33,30
North Dakota,80,38
Nebraska,19,31
South Dakota,15,46
Maine,22,23
New Hampshire,4,33
Hawaii,0,15
