State	Imprisonment Rate (per 100K)	Total Prison Population	2020 Pop.
Louisiana	719	33,706	4,645,180
Oklahoma	704	27,729	3,954,820
Mississippi	619	18,471	2,989,260
Arkansas	598	18,028	3,039,000
Arizona	569	40,263	7,378,490
Texas	553	157,584	29,472,300
Missouri	532	32,592	6,169,270
Kentucky	527	23,539	4,499,690
Georgia	506	53,094	10,736,100
Alabama	486	23,724	4,908,620
Florida	466	98,504	21,993,000
South Dakota	453	3,959	903,027
Nevada	451	13,671	3,139,660
Idaho	447	7,752	1,826,160
Ohio	441	51,478	11,747,700
Virginia	437	37,158	8,626,210
Wyoming	429	2,473	567,025
Tennessee	429	28,980	6,897,580
Delaware	420	4,066	982,895
Michigan	397	39,666	10,045,000
West Virginia	392	7,092	1,778,070
Wisconsin	391	22,682	5,851,750
Indiana	389	26,001	6,745,350
South Carolina	386	19,541	5,210,100
Pennsylvania	375	48,074	12,820,900
Oregon	364	15,200	4,301,090
Colorado	351	19,824	5,845,530
Montana	350	3,698	1,086,760
New Mexico	344	7,189	2,096,640
North Carolina	341	35,283	10,611,900
Kansas	332	9,687	2,910,360
California	328	129,920	39,937,500
Illinois	324	41,427	12,659,700
Maryland	317	19,232	6,083,120
Iowa	285	8,999	3,179,850
Nebraska	273	5,257	1,952,570
Connecticut	268	9,626	3,563,080
Washington	262	19,540	7,797,100
Alaska	258	1,905	734,002
New York	249	49,360	19,440,500
Hawaii	240	3,425	1,412,690
North Dakota	226	1,711	761,723
New Jersey	217	19,585	8,936,570
Utah	206	6,437	3,282,120
New Hampshire	204	2,750	1,371,250
Minnesota	191	10,708	5,700,670
Vermont	180	1,126	628,061
Rhode Island	170	1,808	1,056,160
Maine	134	1,795	1,345,790
Massachusetts	120	8,286	6,976,600
